row_number,gv_id,branch,current_review_status,image_confirmed_decision,auto_approval_eligible,approval_confidence_tier,blockers,relevant_flags,relevant_policy_results,border_logic_changes_routing,disagreements
"1","GV-PK-JPN-M5-118","pokemon","needs_review","","false","human_review_required","no_speculative_environment_literalization; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_interpretive_claim; potential_interpretive_mood_language; potential_purpose_or_lore_interpretation; potential_speculative_setting_language","","false",""
"2","GV-PK-JPN-M5-112","pokemon","needs_review","","false","human_review_required","blocking_policy_result_present; no_metadata_leakage_into_visual_observations_or_tags; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim; no_unsupported_subject_identity_claim","potential_border_color_certainty_issue; potential_canonical_metadata_in_visual_output; potential_interpretive_claim; potential_unsupported_personality_or_species_interpretation","border_color_claim_requires_deterministic_visual_evidence: silver border; pokemon_personality_or_expression_requires_review: confident expression; type_like_visual_claim_requires_visible_support: electric energy","true",""
"3","GV-PK-JPN-L1BSS-070","energy","needs_review","","false","human_review_required","blocking_policy_result_present; no_speculative_environment_literalization; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_abstract_shape_literalization; potential_interpretive_mood_language; potential_purpose_or_lore_interpretation","energy_abstract_literalization_requires_structured_entity_evidence: cityscape; energy_abstract_literalization_requires_structured_entity_evidence: buildings; energy_abstract_literalization_requires_structured_entity_evidence: cityscape; branch_mood_vocabulary_requires_review: serene","false",""
"4","GV-PK-JPN-M5-108","trainer","needs_review","","false","human_review_required","blocking_policy_result_present; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim; semantic_tags_remain_visually_grounded","potential_border_color_certainty_issue; potential_interpretive_claim; potential_semantic_tag_nonvisual_concept","border_color_claim_requires_deterministic_visual_evidence: silver border","true",""
"5","GV-PK-JPN-M5-074","item_tool_supporter","needs_review","","false","human_review_required","blocking_policy_result_present; no_speculative_environment_literalization; no_unresolved_border_color_certainty_issue","potential_border_color_certainty_issue; potential_speculative_setting_language","border_color_claim_requires_deterministic_visual_evidence: Silver border","true",""
"6","GV-PK-JPN-M5-096","pokemon","needs_review","","false","human_review_required","blocking_policy_result_present; no_metadata_leakage_into_visual_observations_or_tags; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim; no_unsupported_subject_identity_claim","potential_border_color_certainty_issue; potential_canonical_metadata_in_visual_output; potential_dramatic_inferred_action_language; potential_metadata_or_identity_language; potential_unsupported_personality_or_species_interpretation","border_color_claim_requires_deterministic_visual_evidence: silver border; type_like_visual_claim_requires_visible_support: electric type","true",""
"7","GV-PK-JPN-SM1PLUS-069","energy","needs_review","","false","human_review_required","blocking_policy_result_present; no_metadata_leakage_into_visual_observations_or_tags; no_unresolved_border_color_certainty_issue; no_unsupported_subject_identity_claim","potential_border_color_certainty_issue; potential_canonical_metadata_in_visual_output","border_color_claim_requires_deterministic_visual_evidence: silver border; type_like_visual_claim_requires_visible_support: grass energy","true",""
"8","GV-PK-JPN-S6A-100","stadium","needs_review","","false","human_review_required","no_metadata_leakage_into_visual_observations_or_tags; no_unsupported_personality_emotion_purpose_lore_or_event_claim; no_unsupported_subject_identity_claim; semantic_tags_remain_visually_grounded","potential_interpretive_claim; semantic_tags_metadata_or_generic_removed","","false",""
"9","GV-PK-JPN-PMCG6-085","stadium","pending","needs_revision","false","human_review_required","blocking_policy_result_present; no_unresolved_border_color_certainty_issue","potential_border_color_certainty_issue","border_color_claim_requires_deterministic_visual_evidence: silver border","true","existing_pending_but_auto_ineligible; text_only_approve_but_auto_ineligible"
"10","GV-PK-JPN-M5-072","item_tool_supporter","needs_review","","false","human_review_required","blocking_policy_result_present; branch_specific_requirements_pass; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_creature_language_on_non_pokemon_branch; potential_interpretive_claim; potential_interpretive_mood_language; potential_purpose_or_lore_interpretation","item_object_purpose_or_interpretation_requires_review: sense of discovery","false",""
"11","GV-PK-JPN-M5-109","trainer","needs_review","","false","human_review_required","blocking_policy_result_present; no_unsupported_personality_emotion_purpose_lore_or_event_claim; semantic_tags_remain_visually_grounded","potential_interpretive_claim; potential_semantic_tag_nonvisual_concept; potential_unsupported_personality_or_species_interpretation","trainer_personality_or_expression_requires_visible_support: determined expression; branch_mood_vocabulary_requires_review: assertive","false",""
"12","GV-PK-JPN-TCGCOLLECTOR11526-019","stadium","needs_review","approve_later_gate","false","human_review_required","blocking_policy_result_present; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_border_color_certainty_issue; potential_interpretive_claim","border_color_claim_requires_deterministic_visual_evidence: Silver border","true","text_only_approve_but_auto_ineligible; image_confirmed_approve_but_auto_ineligible"
"13","GV-PK-JPN-TCGCOLLECTOR11515-020","energy","pending","approve_later_gate","true","eligible_candidate","","","","false",""
"14","GV-PK-JPN-M5-106","item_tool_supporter","needs_review","","false","human_review_required","no_physical_card_surface_overclaim; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_dramatic_inferred_action_language; potential_object_material_or_card_surface_confusion; potential_visual_material_vs_surface_confusion","","false",""
"15","GV-PK-JPN-M5-117","trainer","needs_review","","false","human_review_required","blocking_policy_result_present; no_speculative_environment_literalization; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_interpretive_mood_language; potential_speculative_setting_language; potential_unsupported_personality_or_species_interpretation","branch_mood_vocabulary_requires_review: confident","false",""
"16","GV-PK-JPN-M5-073","item_tool_supporter","needs_review","","false","human_review_required","blocking_policy_result_present; no_physical_card_surface_overclaim; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_border_color_certainty_issue; potential_dramatic_inferred_action_language; potential_interpretive_claim; potential_object_material_or_card_surface_confusion; potential_visual_material_vs_surface_confusion","border_color_claim_requires_deterministic_visual_evidence: silver border; item_object_action_or_event_interpretation_requires_review: explosive device; branch_mood_vocabulary_requires_review: tense","true",""
"17","GV-PK-JPN-M5-105","item_tool_supporter","needs_review","","false","human_review_required","blocking_policy_result_present; no_metadata_leakage_into_visual_observations_or_tags; no_physical_card_surface_overclaim; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim; no_unsupported_subject_identity_claim","potential_border_color_certainty_issue; potential_canonical_metadata_in_visual_output; potential_interpretive_claim; potential_interpretive_mood_language; potential_metadata_or_identity_language; potential_object_material_or_card_surface_confusion; potential_visual_material_vs_surface_confusion","border_color_claim_requires_deterministic_visual_evidence: silver border","true",""
"18","GV-PK-JPN-TCGCOLLECTOR11194-057","energy","needs_review","","false","human_review_required","blocking_policy_result_present; no_metadata_leakage_into_visual_observations_or_tags; no_unsupported_personality_emotion_purpose_lore_or_event_claim; no_unsupported_subject_identity_claim","potential_canonical_metadata_in_visual_output; potential_interpretive_claim","type_like_visual_claim_requires_visible_support: Water Energy","false",""
"19","GV-PK-JPN-M5-101","pokemon","needs_review","","false","human_review_required","blocking_policy_result_present; no_unresolved_border_color_certainty_issue; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_border_color_certainty_issue; potential_unsupported_personality_or_species_interpretation","border_color_claim_requires_deterministic_visual_evidence: Silver border; pokemon_personality_or_expression_requires_review: fierce expression","true",""
"20","GV-PK-JPN-M5-116","trainer","needs_review","","false","human_review_required","blocking_policy_result_present; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_unsupported_personality_or_species_interpretation","trainer_personality_or_expression_requires_visible_support: focused; trainer_personality_or_expression_requires_visible_support: confidence; trainer_personality_or_expression_requires_visible_support: determined; trainer_personality_or_expression_requires_visible_support: determined expression; branch_mood_vocabulary_requires_review: determined","false",""
"21","GV-PK-JPN-M5-113","pokemon","needs_review","","false","human_review_required","no_speculative_environment_literalization","potential_speculative_setting_language","","false",""
"22","GV-PK-JPN-SMG-039","stadium","needs_review","","false","human_review_required","no_speculative_environment_literalization; no_unsupported_personality_emotion_purpose_lore_or_event_claim; semantic_tags_remain_visually_grounded","potential_interpretive_claim; potential_semantic_tag_nonvisual_concept; potential_speculative_setting_language; potential_unsupported_personality_or_species_interpretation","","false",""
"23","GV-PK-JPN-M5-111","trainer","needs_review","","false","human_review_required","blocking_policy_result_present; no_unsupported_personality_emotion_purpose_lore_or_event_claim","potential_unsupported_personality_or_species_interpretation","trainer_personality_or_expression_requires_visible_support: thoughtful expression; trainer_personality_or_expression_requires_visible_support: thoughtful expression","false",""
"24","GV-PK-JPN-TCGCOLLECTOR11525-019","stadium","pending","approve_later_gate","true","eligible_candidate","","","","false",""
"25","GV-PK-JPN-TCGCOLLECTOR11541-013","energy","needs_review","","false","human_review_required","blocking_policy_result_present; no_metadata_leakage_into_visual_observations_or_tags; no_unsupported_personality_emotion_purpose_lore_or_event_claim; no_unsupported_subject_identity_claim","potential_canonical_metadata_in_visual_output; potential_interpretive_mood_language; potential_purpose_or_lore_interpretation","type_like_visual_claim_requires_visible_support: Psychic Energy","false",""
